id,name,parent_id,geo_type,latitude,longitude
1,New York,new york,City,40.7127837,-74.0059413
2,Los Angeles,california,City,34.0522342,-118.2436849
3,Chicago,illinois,City,41.8781136,-87.6297982
4,Houston,texas,City,29.7604267,-95.3698028
5,Philadelphia,pennsylvania,City,39.9525839,-75.1652215
6,Phoenix,arizona,City,33.4483771,-112.0740373
7,San Antonio,texas,City,29.4241219,-98.4936282
8,San Diego,california,City,32.715738,-117.1610838
9,Dallas,texas,City,32.7766642,-96.7969879
10,San Jose,california,City,37.3382082,-121.8863286
11,Austin,texas,City,30.267153,-97.7430608
12,Indianapolis,indiana,City,39.768403,-86.158068
13,Jacksonville,florida,City,30.3321838,-81.655651
14,San Francisco,california,City,37.7749295,-122.4194155
15,Columbus,ohio,City,39.9611755,-82.9987942
16,Charlotte,north carolina,City,35.2270869,-80.8431267
17,Fort Worth,texas,City,32.7554883,-97.3307658
18,Detroit,michigan,City,42.331427,-83.0457538
19,El Paso,texas,City,31.7775757,-106.4424559
20,Memphis,tennessee,City,35.1495343,-90.0489801
21,Seattle,washington,City,47.6062095,-122.3320708
22,Denver,colorado,City,39.7392358,-104.990251
23,Washington,district of columbia,City,38.9071923,-77.0368707
24,Boston,massachusetts,City,42.3600825,-71.0588801
25,Nashville,tennessee,City,36.1626638,-86.7816016
26,Baltimore,maryland,City,39.2903848,-76.6121893
27,Oklahoma City,oklahoma,City,35.4675602,-97.5164276
28,Louisville,kentucky,City,38.2526647,-85.7584557
29,Portland,oregon,City,45.5230622,-122.6764816
30,Las Vegas,nevada,City,36.1699412,-115.1398296
31,Milwaukee,wisconsin,City,43.0389025,-87.9064736
32,Albuquerque,new mexico,City,35.0853336,-106.6055534
33,Tucson,arizona,City,32.2217429,-110.926479
34,Fresno,california,City,36.7468422,-119.7725868
35,Sacramento,california,City,38.5815719,-121.4943996
36,Long Beach,california,City,33.7700504,-118.1937395
37,Kansas City,missouri,City,39.0997265,-94.5785667
38,Mesa,arizona,City,33.4151843,-111.8314724
39,Virginia Beach,virginia,City,36.8529263,-75.977985
40,Atlanta,georgia,City,33.7489954,-84.3879824
41,Colorado Springs,colorado,City,38.8338816,-104.8213634
42,Omaha,nebraska,City,41.2523634,-95.9979883
43,Raleigh,north carolina,City,35.7795897,-78.6381787
44,Miami,florida,City,25.7616798,-80.1917902
45,Oakland,california,City,37.8043637,-122.2711137
46,Minneapolis,minnesota,City,44.977753,-93.2650108
47,Tulsa,oklahoma,City,36.1539816,-95.992775
48,Cleveland,ohio,City,41.49932,-81.6943605
49,Wichita,kansas,City,37.688889,-97.336111
50,Arlington,texas,City,32.735687,-97.1080656
51,New Orleans,louisiana,City,29.9510658,-90.0715323
52,Bakersfield,california,City,35.3732921,-119.0187125
53,Tampa,florida,City,27.950575,-82.4571776
54,Honolulu,hawaii,City,21.3069444,-157.8583333
55,Aurora,colorado,City,39.7294319,-104.8319195
56,Anaheim,california,City,33.8352932,-117.9145036
57,Santa Ana,california,City,33.7455731,-117.8678338
58,St. Louis,missouri,City,38.6270025,-90.1994042
59,Riverside,california,City,33.9533487,-117.3961564
60,Corpus Christi,texas,City,27.8005828,-97.396381
61,Lexington-Fayette,kentucky,City,38.0405837,-84.5037164
62,Pittsburgh,pennsylvania,City,40.4406248,-79.9958864
63,Anchorage,alaska,City,61.2180556,-149.9002778
64,Stockton,california,City,37.9577016,-121.2907796
65,Cincinnati,ohio,City,39.1031182,-84.5120196
66,St. Paul,minnesota,City,44.9537029,-93.0899578
67,Toledo,ohio,City,41.6639383,-83.555212
68,Greensboro,north carolina,City,36.0726354,-79.7919754
69,Newark,new jersey,City,40.735657,-74.1723667
70,Plano,texas,City,33.0198431,-96.6988856
71,Henderson,nevada,City,36.0395247,-114.9817213
72,Lincoln,nebraska,City,40.8257625,-96.6851982
73,Buffalo,new york,City,42.8864468,-78.8783689
74,Jersey City,new jersey,City,40.7281575,-74.0776417
75,Chula Vista,california,City,32.6400541,-117.0841955
76,Fort Wayne,indiana,City,41.079273,-85.1393513
77,Orlando,florida,City,28.5383355,-81.3792365
78,St. Petersburg,florida,City,27.773056,-82.64
79,Chandler,arizona,City,33.3061605,-111.8412502
80,Laredo,texas,City,27.5305671,-99.4803241
81,Norfolk,virginia,City,36.8507689,-76.2858726
82,Durham,north carolina,City,35.9940329,-78.898619
83,Madison,wisconsin,City,43.0730517,-89.4012302
84,Lubbock,texas,City,33.5778631,-101.8551665
85,Irvine,california,City,33.6839473,-117.7946942
86,Winston-Salem,north carolina,City,36.0998596,-80.244216
87,Glendale,arizona,City,33.5386523,-112.1859866
88,Garland,texas,City,32.912624,-96.6388833
89,Hialeah,florida,City,25.8575963,-80.2781057
90,Reno,nevada,City,39.5296329,-119.8138027
91,Chesapeake,virginia,City,36.7682088,-76.2874927
92,Gilbert,arizona,City,33.3528264,-111.789027
93,Baton Rouge,louisiana,City,30.4582829,-91.1403196
94,Irving,texas,City,32.8140177,-96.9488945
95,Scottsdale,arizona,City,33.4941704,-111.9260519
96,North Las Vegas,nevada,City,36.1988592,-115.1175013
