respondent_id,condition_tag
74,female
93,male
65,female
96,female
23,female
47,male
17,male
68,male
25,female
100,male
89,male
34,female
84,male
22,male
62,male
59,male
3,female
2,female
35,male
12,female
90,male
38,female
6,female
27,male
16,male
98,male
97,female
87,female
11,female
75,female
81,female
39,male
33,male
86,female
20,male
80,female
73,female
76,female
99,female
8,male
67,male
24,female
77,female
53,male
32,male
70,male
4,female
82,female
63,female
40,male
56,male
61,female
45,female
95,female
83,male
5,male
72,male
10,male
41,female
31,male
42,female
21,female
64,male
79,female
69,male
71,female
94,male
52,female
50,female
55,male
54,male
48,male
51,female
18,male
92,female
88,female
13,female
19,male
78,male
60,male
7,male
49,male
85,male
58,male
66,female
1,female
15,female
9,female
14,female
46,male
36,male
44,male
57,male
29,female
26,male
43,female
37,female
30,female
28,male
91,male
